id,PG,SG,SF,PF,C,sum,label_name
Gerald Wallace,0,0,1,1,0,140,Gerald Wallace
Greivis Vasquez,1,1,0,0,0,157,Greivis Vasquez
Ime Udoka,0,1,1,1,0,7,Ime Udoka
Ish Smith,1,0,0,0,0,47,Ish Smith
J.J. Hickson,0,0,0,1,1,97,J.J. Hickson
JaJuan Johnson,0,0,0,1,0,3,JaJuan Johnson
Jamaal Tinsley,1,0,0,0,0,41,Jamaal Tinsley
Jamario Moon,0,0,1,0,0,2,Jamario Moon
Jannero Pargo,1,1,0,0,0,31,Jannero Pargo
Jason Smith,0,0,0,1,1,70,Jason Smith
Jerome Jordan,0,0,0,0,1,9,Jerome Jordan
Joakim Noah,0,0,0,0,1,383,Joakim Noah
Joe Johnson,0,1,1,0,0,258,Joe Johnson
Josh McRoberts,0,0,0,1,1,103,Josh McRoberts
Justin Harper,0,0,0,1,0,3,Justin Harper
Kwame Brown,0,0,0,1,1,43,Kwame Brown
Kyle Lowry,1,0,0,0,0,266,Kyle Lowry
Lazar Hayward,0,0,1,0,0,12,Lazar Hayward
Luc Mbah a Moute,0,0,1,1,0,68,Luc Mbah a Moute
Luke Harangody,0,0,0,1,0,10,Luke Harangody
Luke Ridnour,1,1,0,0,0,108,Luke Ridnour
Malcolm Lee,0,1,0,0,0,39,Malcolm Lee
Malcolm Thomas,0,0,0,1,0,20,Malcolm Thomas
Manny Harris,0,1,0,0,0,9,Manny Harris
Marcus Landry,0,0,1,0,0,5,Marcus Landry
Marcus Morris,0,0,1,1,0,60,Marcus Morris
Norris Cole,1,0,0,0,0,91,Norris Cole
Omri Casspi,0,0,1,1,0,43,Omri Casspi
Ramon Sessions,1,1,0,0,0,104,Ramon Sessions
Raymond Felton,1,1,0,0,0,163,Raymond Felton
Ronnie Brewer,0,1,1,0,0,35,Ronnie Brewer
Ronnie Price,1,1,0,0,0,40,Ronnie Price
Rudy Fernandez,0,1,0,0,0,22,Rudy Fernandez
Sasha Pavlovic,0,1,1,0,0,16,Sasha Pavlovic
Semih Erden,0,0,0,0,1,9,Semih Erden
Serge Ibaka,0,0,0,1,0,271,Serge Ibaka
Shawne Williams,0,1,1,1,0,29,Shawne Williams
Shelden Williams,0,0,0,1,1,2,Shelden Williams
Wesley Matthews,0,1,0,0,0,162,Wesley Matthews
Will Bynum,1,1,0,0,0,59,Will Bynum
Zydrunas Ilgauskas,0,0,0,0,1,18,Zydrunas Ilgauskas
Byron Mullens,0,0,0,1,1,63,Byron Mullens
Chris Wilcox,0,0,0,1,1,24,Chris Wilcox
Cole Aldrich,0,0,0,0,1,31,Cole Aldrich
Cory Higgins,1,1,0,0,0,2,Cory Higgins
Damion James,0,0,1,0,0,7,Damion James
Dante Cunningham,0,0,1,1,0,65,Dante Cunningham
Darrell Arthur,0,0,1,1,0,48,Darrell Arthur
Gary Forbes,0,1,1,0,0,5,Gary Forbes
Gustavo Ayon,0,0,0,1,1,49,Gustavo Ayon
Jeff Adrien,0,0,0,1,0,18,Jeff Adrien
Jordan Williams,0,0,0,0,1,7,Jordan Williams
Kirk Hinrich,1,1,0,0,0,180,Kirk Hinrich
Lou Amundson,0,0,0,1,0,25,Lou Amundson
Mehmet Okur,0,0,0,1,1,7,Mehmet Okur
Melvin Ely,0,0,0,1,1,7,Melvin Ely
Sean Williams,0,0,0,1,1,6,Sean Williams
Antonio Daniels,1,1,0,0,0,1,Antonio Daniels
Carlos Delfino,0,1,1,0,0,68,Carlos Delfino
Drew Gooden,0,0,1,1,1,47,Drew Gooden
Hamed Haddadi,0,0,0,0,1,28,Hamed Haddadi
Jared Dudley,0,1,1,1,0,98,Jared Dudley
Michael Redd,0,1,1,0,0,5,Michael Redd
A.J. Price,1,1,0,0,0,46,A.J. Price
Aaron Gray,0,0,0,0,1,31,Aaron Gray
Alan Anderson,0,1,1,0,0,64,Alan Anderson
Alexey Shved,0,1,0,0,0,96,Alexey Shved
Amir Johnson,0,0,1,1,0,107,Amir Johnson
Anderson Varejao,0,0,0,1,1,206,Anderson Varejao
Andre Drummond,0,0,0,0,1,236,Andre Drummond
Andre Iguodala,0,1,1,0,0,295,Andre Iguodala
Andrew Nicholson,0,0,0,1,0,78,Andrew Nicholson
Anthony Davis,0,0,0,1,1,480,Anthony Davis
Ben Hansbrough,1,0,0,0,0,12,Ben Hansbrough
Bradley Beal,0,1,0,0,0,199,Bradley Beal
Brian Roberts,1,0,0,0,0,59,Brian Roberts
Chase Budinger,0,0,1,0,0,98,Chase Budinger
Chris Douglas-Roberts,0,1,1,0,0,24,Chris Douglas-Roberts
Damian Lillard,1,0,0,0,0,378,Damian Lillard
Daniel Gibson,1,1,0,0,0,51,Daniel Gibson
Danny Green,0,1,0,0,0,183,Danny Green
DeMar DeRozan,0,1,0,0,0,196,DeMar DeRozan
DeQuan Jones,0,0,1,0,0,14,DeQuan Jones
Dion Waiters,0,1,0,0,0,228,Dion Waiters
Dorell Wright,0,0,1,0,0,88,Dorell Wright
Draymond Green,0,0,1,1,0,244,Draymond Green
Ed Davis,0,0,0,1,1,94,Ed Davis
Ekpe Udoh,0,0,0,1,1,42,Ekpe Udoh
Elton Brand,0,0,0,1,1,117,Elton Brand
Evan Fournier,0,1,1,0,0,55,Evan Fournier
Evan Turner,0,1,1,0,0,170,Evan Turner
Festus Ezeli,0,0,0,0,1,95,Festus Ezeli
Francisco Garcia,0,1,1,0,0,51,Francisco Garcia
